# Data Source: NASA GEOS5 Near-Real-Time
# Model Time = 2010-01-01 00:00:00
# Location = [  41.1310, -112.8960 ]
# Fields = [ Z(km), T(K), U(m/s), V(m/s), R(g/cm3), P(mbar) ]
# Ground Height = 1.421
# The following lines are formatted input for ncpaprop
#% 0, Z0, km, 1.421
#% 1, Z, km
#% 2, T, degK
#% 3, U, m/s
#% 4, V, m/s
#% 5, RHO, g/cm3
#% 6, P, mbar
  5.600      2.54791e+02       1.94603e+01      -1.10907e+01       6.89319e-04       5.04064e+02
  5.700      2.54186e+02       1.98398e+01      -1.10079e+01       6.81776e-04       4.97364e+02
  5.800      2.53584e+02       2.03311e+01      -1.09239e+01       6.74290e-04       4.90739e+02
  5.900      2.52982e+02       2.09053e+01      -1.08514e+01       6.66872e-04       4.84188e+02
  6.000      2.52376e+02       2.15321e+01      -1.08031e+01       6.59529e-04       4.77709e+02
  6.100      2.51761e+02       2.21814e+01      -1.07918e+01       6.52272e-04       4.71301e+02
  6.200      2.51133e+02       2.28228e+01      -1.08302e+01       6.45109e-04       4.64963e+02
  6.300      2.50488e+02       2.34260e+01      -1.09311e+01       6.38048e-04       4.58693e+02
  6.400      2.49821e+02       2.39606e+01      -1.11073e+01       6.31098e-04       4.52490e+02
  6.500      2.49130e+02       2.43980e+01      -1.13704e+01       6.24267e-04       4.46353e+02
  6.600      2.48414e+02       2.47325e+01      -1.17160e+01       6.17549e-04       4.40281e+02
  6.700      2.47678e+02       2.49766e+01      -1.21272e+01       6.10934e-04       4.34273e+02
  6.800      2.46926e+02       2.51432e+01      -1.25866e+01       6.04408e-04       4.28330e+02
  6.900      2.46162e+02       2.52452e+01      -1.30770e+01       5.97961e-04       4.22451e+02
  7.000      2.45391e+02       2.52956e+01      -1.35810e+01       5.91581e-04       4.16634e+02
  7.100      2.44618e+02       2.53073e+01      -1.40814e+01       5.85257e-04       4.10881e+02
  7.200      2.43845e+02       2.52931e+01      -1.45609e+01       5.78978e-04       4.05189e+02
  7.300      2.43078e+02       2.52661e+01      -1.50021e+01       5.72735e-04       3.99560e+02
  7.400      2.42320e+02       2.52371e+01      -1.53917e+01       5.66519e-04       3.93991e+02
  7.500      2.41569e+02       2.52100e+01      -1.57291e+01       5.60336e-04       3.88483e+02
  7.600      2.40823e+02       2.51877e+01      -1.60161e+01       5.54190e-04       3.83036e+02
  7.700      2.40080e+02       2.51728e+01      -1.62544e+01       5.48087e-04       3.77648e+02
  7.800      2.39336e+02       2.51682e+01      -1.64459e+01       5.42032e-04       3.72319e+02
  7.900      2.38591e+02       2.51765e+01      -1.65924e+01       5.36029e-04       3.67049e+02
  8.000      2.37842e+02       2.52005e+01      -1.66957e+01       5.30083e-04       3.61838e+02
  8.100      2.37085e+02       2.52428e+01      -1.67575e+01       5.24200e-04       3.56684e+02
  8.200      2.36320e+02       2.53064e+01      -1.67798e+01       5.18383e-04       3.51588e+02
  8.300      2.35544e+02       2.53934e+01      -1.67646e+01       5.12637e-04       3.46548e+02
  8.400      2.34757e+02       2.55027e+01      -1.67182e+01       5.06959e-04       3.41565e+02
  8.500      2.33961e+02       2.56305e+01      -1.66493e+01       5.01346e-04       3.36637e+02
